// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 3 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Users\jeliknes\source\repos\IQueryableExpressionExamples\CtorPerformance\bin\Release\net5.0\308cd67a-5730-4011-b373-381754b485ad
// command took 1.35s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Users\jeliknes\source\repos\IQueryableExpressionExamples\CtorPerformance\bin\Release\net5.0\308cd67a-5730-4011-b373-381754b485ad
// command took 2s and exited with 0
// ***** Done, took 00:00:03 (3.48 sec)   *****
// Found 3 benchmarks:
//   CtorTest.new(): DefaultJob
//   CtorTest.Activator.CreateInstance: DefaultJob
//   CtorTest.Expression.New: DefaultJob

// **************************
// Benchmark: CtorTest.new(): DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "308cd67a-5730-4011-b373-381754b485ad.dll" --benchmarkName "CtorPerformance.CtorTest.Manual" --job "Default" --benchmarkId 0 in C:\Users\jeliknes\source\repos\IQueryableExpressionExamples\CtorPerformance\bin\Release\net5.0\308cd67a-5730-4011-b373-381754b485ad\bin\Release\netcoreapp5.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 5.0.0 (CoreCLR 5.0.20.27801, CoreFX 5.0.20.27801), X64 RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadActual   4: 52428800 op, 546100.00 ns, 0.0104 ns/op
OverheadActual   5: 52428800 op, 467600.00 ns, 0.0089 ns/op
OverheadActual   6: 52428800 op, 460900.00 ns, 0.0088 ns/op
OverheadActual   7: 52428800 op, 460500.00 ns, 0.0088 ns/op
OverheadActual   8: 52428800 op, 460000.00 ns, 0.0088 ns/op
OverheadActual   9: 52428800 op, 515800.00 ns, 0.0098 ns/op
OverheadActual  10: 52428800 op, 464700.00 ns, 0.0089 ns/op
OverheadActual  11: 52428800 op, 464300.00 ns, 0.0089 ns/op
OverheadActual  12: 52428800 op, 459200.00 ns, 0.0088 ns/op
OverheadActual  13: 52428800 op, 464300.00 ns, 0.0089 ns/op
OverheadActual  14: 52428800 op, 459900.00 ns, 0.0088 ns/op
OverheadActual  15: 52428800 op, 466100.00 ns, 0.0089 ns/op

WorkloadWarmup   1: 52428800 op, 619667500.00 ns, 11.8192 ns/op
WorkloadWarmup   2: 52428800 op, 622260800.00 ns, 11.8687 ns/op
WorkloadWarmup   3: 52428800 op, 619896600.00 ns, 11.8236 ns/op
WorkloadWarmup   4: 52428800 op, 633313500.00 ns, 12.0795 ns/op
WorkloadWarmup   5: 52428800 op, 624078700.00 ns, 11.9034 ns/op
WorkloadWarmup   6: 52428800 op, 638956100.00 ns, 12.1871 ns/op

// BeforeActualRun
WorkloadActual   1: 52428800 op, 667352600.00 ns, 12.7287 ns/op
WorkloadActual   2: 52428800 op, 638782300.00 ns, 12.1838 ns/op
WorkloadActual   3: 52428800 op, 615201400.00 ns, 11.7340 ns/op
WorkloadActual   4: 52428800 op, 626247800.00 ns, 11.9447 ns/op
WorkloadActual   5: 52428800 op, 630823400.00 ns, 12.0320 ns/op
WorkloadActual   6: 52428800 op, 626696600.00 ns, 11.9533 ns/op
WorkloadActual   7: 52428800 op, 628949700.00 ns, 11.9963 ns/op
WorkloadActual   8: 52428800 op, 620115100.00 ns, 11.8278 ns/op
WorkloadActual   9: 52428800 op, 619890600.00 ns, 11.8235 ns/op
WorkloadActual  10: 52428800 op, 646733600.00 ns, 12.3355 ns/op
WorkloadActual  11: 52428800 op, 609894900.00 ns, 11.6328 ns/op
WorkloadActual  12: 52428800 op, 613461400.00 ns, 11.7008 ns/op
WorkloadActual  13: 52428800 op, 612742700.00 ns, 11.6871 ns/op
WorkloadActual  14: 52428800 op, 626646100.00 ns, 11.9523 ns/op
WorkloadActual  15: 52428800 op, 632298100.00 ns, 12.0601 ns/op

// AfterActualRun
WorkloadResult   1: 52428800 op, 638318000.00 ns, 12.1749 ns/op
WorkloadResult   2: 52428800 op, 614737100.00 ns, 11.7252 ns/op
WorkloadResult   3: 52428800 op, 625783500.00 ns, 11.9359 ns/op
WorkloadResult   4: 52428800 op, 630359100.00 ns, 12.0231 ns/op
WorkloadResult   5: 52428800 op, 626232300.00 ns, 11.9444 ns/op
WorkloadResult   6: 52428800 op, 628485400.00 ns, 11.9874 ns/op
WorkloadResult   7: 52428800 op, 619650800.00 ns, 11.8189 ns/op
WorkloadResult   8: 52428800 op, 619426300.00 ns, 11.8146 ns/op
WorkloadResult   9: 52428800 op, 646269300.00 ns, 12.3266 ns/op
WorkloadResult  10: 52428800 op, 609430600.00 ns, 11.6240 ns/op
WorkloadResult  11: 52428800 op, 612997100.00 ns, 11.6920 ns/op
WorkloadResult  12: 52428800 op, 612278400.00 ns, 11.6783 ns/op
WorkloadResult  13: 52428800 op, 626181800.00 ns, 11.9435 ns/op
WorkloadResult  14: 52428800 op, 631833800.00 ns, 12.0513 ns/op

// AfterAll
// Benchmark Process 38232 has exited with code 0

Mean = 11.910 ns, StdErr = 0.053 ns (0.45%), N = 14, StdDev = 0.200 ns
Min = 11.624 ns, Q1 = 11.748 ns, Median = 11.940 ns, Q3 = 12.014 ns, Max = 12.327 ns
IQR = 0.267 ns, LowerFence = 11.348 ns, UpperFence = 12.414 ns
ConfidenceInterval = [11.684 ns; 12.136 ns] (CI 99.9%), Margin = 0.226 ns (1.89% of Mean)
Skewness = 0.37, Kurtosis = 2.18, MValue = 2

// **************************
// Benchmark: CtorTest.Activator.CreateInstance: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "308cd67a-5730-4011-b373-381754b485ad.dll" --benchmarkName "CtorPerformance.CtorTest.Activator" --job "Default" --benchmarkId 1 in C:\Users\jeliknes\source\repos\IQueryableExpressionExamples\CtorPerformance\bin\Release\net5.0\308cd67a-5730-4011-b373-381754b485ad\bin\Release\netcoreapp5.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 5.0.0 (CoreCLR 5.0.20.27801, CoreFX 5.0.20.27801), X64 RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 200 op, 248900.00 ns, 1.2445 us/op
WorkloadJitting  1: 200 op, 495900.00 ns, 2.4795 us/op

OverheadJitting  2: 3200 op, 167800.00 ns, 52.4375 ns/op
WorkloadJitting  2: 3200 op, 2563300.00 ns, 801.0312 ns/op

WorkloadPilot    1: 3200 op, 2423200.00 ns, 757.2500 ns/op
WorkloadPilot    2: 6400 op, 4931900.00 ns, 770.6094 ns/op
WorkloadPilot    3: 12800 op, 9013000.00 ns, 704.1406 ns/op
WorkloadPilot    4: 25600 op, 17469800.00 ns, 682.4141 ns/op
WorkloadPilot    5: 51200 op, 34373400.00 ns, 671.3555 ns/op
WorkloadPilot    6: 102400 op, 66648300.00 ns, 650.8623 ns/op
WorkloadPilot    7: 204800 op, 113731900.00 ns, 555.3315 ns/op
WorkloadPilot    8: 409600 op, 200023000.00 ns, 488.3374 ns/op
WorkloadPilot    9: 819200 op, 392046700.00 ns, 478.5726 ns/op
WorkloadPilot   10: 1638400 op, 801961300.00 ns, 489.4783 ns/op

OverheadWarmup   1: 1638400 op, 16500.00 ns, 0.0101 ns/op
OverheadWarmup   2: 1638400 op, 15500.00 ns, 0.0095 ns/op
OverheadWarmup   3: 1638400 op, 14700.00 ns, 0.0090 ns/op
OverheadWarmup   4: 1638400 op, 15400.00 ns, 0.0094 ns/op
OverheadWarmup   5: 1638400 op, 15300.00 ns, 0.0093 ns/op
OverheadWarmup   6: 1638400 op, 15200.00 ns, 0.0093 ns/op
OverheadWarmup   7: 1638400 op, 15100.00 ns, 0.0092 ns/op
OverheadWarmup   8: 1638400 op, 15300.00 ns, 0.0093 ns/op
OverheadWarmup   9: 1638400 op, 58600.00 ns, 0.0358 ns/op
OverheadWarmup  10: 1638400 op, 14700.00 ns, 0.0090 ns/op

OverheadActual   1: 1638400 op, 15000.00 ns, 0.0092 ns/op
OverheadActual   2: 1638400 op, 15300.00 ns, 0.0093 ns/op
OverheadActual   3: 1638400 op, 15300.00 ns, 0.0093 ns/op
OverheadActual   4: 1638400 op, 15000.00 ns, 0.0092 ns/op
OverheadActual   5: 1638400 op, 15000.00 ns, 0.0092 ns/op
OverheadActual   6: 1638400 op, 15200.00 ns, 0.0093 ns/op
OverheadActual   7: 1638400 op, 15200.00 ns, 0.0093 ns/op
OverheadActual   8: 1638400 op, 15200.00 ns, 0.0093 ns/op
OverheadActual   9: 1638400 op, 24900.00 ns, 0.0152 ns/op
OverheadActual  10: 1638400 op, 14900.00 ns, 0.0091 ns/op
OverheadActual  11: 1638400 op, 15100.00 ns, 0.0092 ns/op
OverheadActual  12: 1638400 op, 14900.00 ns, 0.0091 ns/op
OverheadActual  13: 1638400 op, 15200.00 ns, 0.0093 ns/op
OverheadActual  14: 1638400 op, 15500.00 ns, 0.0095 ns/op
OverheadActual  15: 1638400 op, 34200.00 ns, 0.0209 ns/op

WorkloadWarmup   1: 1638400 op, 791228500.00 ns, 482.9276 ns/op
WorkloadWarmup   2: 1638400 op, 776543600.00 ns, 473.9646 ns/op
WorkloadWarmup   3: 1638400 op, 791672200.00 ns, 483.1984 ns/op
WorkloadWarmup   4: 1638400 op, 794276300.00 ns, 484.7878 ns/op
WorkloadWarmup   5: 1638400 op, 777254300.00 ns, 474.3984 ns/op
WorkloadWarmup   6: 1638400 op, 766136000.00 ns, 467.6123 ns/op
WorkloadWarmup   7: 1638400 op, 789668900.00 ns, 481.9756 ns/op
WorkloadWarmup   8: 1638400 op, 773241500.00 ns, 471.9492 ns/op

// BeforeActualRun
WorkloadActual   1: 1638400 op, 767529000.00 ns, 468.4625 ns/op
WorkloadActual   2: 1638400 op, 767807700.00 ns, 468.6326 ns/op
WorkloadActual   3: 1638400 op, 772933200.00 ns, 471.7610 ns/op
WorkloadActual   4: 1638400 op, 785130700.00 ns, 479.2057 ns/op
WorkloadActual   5: 1638400 op, 789359600.00 ns, 481.7869 ns/op
WorkloadActual   6: 1638400 op, 774418200.00 ns, 472.6674 ns/op
WorkloadActual   7: 1638400 op, 771033900.00 ns, 470.6017 ns/op
WorkloadActual   8: 1638400 op, 774188600.00 ns, 472.5272 ns/op
WorkloadActual   9: 1638400 op, 812314900.00 ns, 495.7977 ns/op
WorkloadActual  10: 1638400 op, 782084900.00 ns, 477.3467 ns/op
WorkloadActual  11: 1638400 op, 784040400.00 ns, 478.5403 ns/op
WorkloadActual  12: 1638400 op, 791348600.00 ns, 483.0009 ns/op
WorkloadActual  13: 1638400 op, 797489500.00 ns, 486.7490 ns/op
WorkloadActual  14: 1638400 op, 767740100.00 ns, 468.5914 ns/op
WorkloadActual  15: 1638400 op, 754962200.00 ns, 460.7924 ns/op

// AfterActualRun
WorkloadResult   1: 1638400 op, 767513800.00 ns, 468.4532 ns/op
WorkloadResult   2: 1638400 op, 767792500.00 ns, 468.6234 ns/op
WorkloadResult   3: 1638400 op, 772918000.00 ns, 471.7517 ns/op
WorkloadResult   4: 1638400 op, 785115500.00 ns, 479.1965 ns/op
WorkloadResult   5: 1638400 op, 789344400.00 ns, 481.7776 ns/op
WorkloadResult   6: 1638400 op, 774403000.00 ns, 472.6581 ns/op
WorkloadResult   7: 1638400 op, 771018700.00 ns, 470.5925 ns/op
WorkloadResult   8: 1638400 op, 774173400.00 ns, 472.5179 ns/op
WorkloadResult   9: 1638400 op, 812299700.00 ns, 495.7884 ns/op
WorkloadResult  10: 1638400 op, 782069700.00 ns, 477.3375 ns/op
WorkloadResult  11: 1638400 op, 784025200.00 ns, 478.5310 ns/op
WorkloadResult  12: 1638400 op, 791333400.00 ns, 482.9916 ns/op
WorkloadResult  13: 1638400 op, 797474300.00 ns, 486.7397 ns/op
WorkloadResult  14: 1638400 op, 767724900.00 ns, 468.5821 ns/op
WorkloadResult  15: 1638400 op, 754947000.00 ns, 460.7831 ns/op

// AfterAll
// Benchmark Process 11744 has exited with code 0

Mean = 475.755 ns, StdErr = 2.263 ns (0.48%), N = 15, StdDev = 8.764 ns
Min = 460.783 ns, Q1 = 469.608 ns, Median = 472.658 ns, Q3 = 480.487 ns, Max = 495.788 ns
IQR = 10.879 ns, LowerFence = 453.289 ns, UpperFence = 496.806 ns
ConfidenceInterval = [466.386 ns; 485.124 ns] (CI 99.9%), Margin = 9.369 ns (1.97% of Mean)
Skewness = 0.52, Kurtosis = 2.71, MValue = 2

// **************************
// Benchmark: CtorTest.Expression.New: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "308cd67a-5730-4011-b373-381754b485ad.dll" --benchmarkName "CtorPerformance.CtorTest.ExpressionNew" --job "Default" --benchmarkId 2 in C:\Users\jeliknes\source\repos\IQueryableExpressionExamples\CtorPerformance\bin\Release\net5.0\308cd67a-5730-4011-b373-381754b485ad\bin\Release\netcoreapp5.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 5.0.0 (CoreCLR 5.0.20.27801, CoreFX 5.0.20.27801), X64 RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 200 op, 249200.00 ns, 1.2460 us/op
WorkloadJitting  1: 200 op, 354700.00 ns, 1.7735 us/op

OverheadJitting  2: 3200 op, 170200.00 ns, 53.1875 ns/op
WorkloadJitting  2: 3200 op, 231800.00 ns, 72.4375 ns/op

WorkloadPilot    1: 3200 op, 65800.00 ns, 20.5625 ns/op
WorkloadPilot    2: 6400 op, 168800.00 ns, 26.3750 ns/op
WorkloadPilot    3: 12800 op, 342700.00 ns, 26.7734 ns/op
WorkloadPilot    4: 25600 op, 645400.00 ns, 25.2109 ns/op
WorkloadPilot    5: 51200 op, 1364700.00 ns, 26.6543 ns/op
WorkloadPilot    6: 102400 op, 2428500.00 ns, 23.7158 ns/op
WorkloadPilot    7: 204800 op, 3566200.00 ns, 17.4131 ns/op
WorkloadPilot    8: 409600 op, 7638000.00 ns, 18.6475 ns/op
WorkloadPilot    9: 819200 op, 15931300.00 ns, 19.4474 ns/op
WorkloadPilot   10: 1638400 op, 28828100.00 ns, 17.5953 ns/op
WorkloadPilot   11: 3276800 op, 56051000.00 ns, 17.1054 ns/op
WorkloadPilot   12: 6553600 op, 104672100.00 ns, 15.9717 ns/op
WorkloadPilot   13: 13107200 op, 171515000.00 ns, 13.0856 ns/op
WorkloadPilot   14: 26214400 op, 347288600.00 ns, 13.2480 ns/op
WorkloadPilot   15: 52428800 op, 721370900.00 ns, 13.7591 ns/op

OverheadWarmup   1: 52428800 op, 464300.00 ns, 0.0089 ns/op
OverheadWarmup   2: 52428800 op, 503400.00 ns, 0.0096 ns/op
OverheadWarmup   3: 52428800 op, 459400.00 ns, 0.0088 ns/op
OverheadWarmup   4: 52428800 op, 450200.00 ns, 0.0086 ns/op
OverheadWarmup   5: 52428800 op, 452700.00 ns, 0.0086 ns/op
OverheadWarmup   6: 52428800 op, 462700.00 ns, 0.0088 ns/op
OverheadWarmup   7: 52428800 op, 455900.00 ns, 0.0087 ns/op

OverheadActual   1: 52428800 op, 453300.00 ns, 0.0086 ns/op
OverheadActual   2: 52428800 op, 456600.00 ns, 0.0087 ns/op
OverheadActual   3: 52428800 op, 456300.00 ns, 0.0087 ns/op
OverheadActual   4: 52428800 op, 463000.00 ns, 0.0088 ns/op
OverheadActual   5: 52428800 op, 449700.00 ns, 0.0086 ns/op
OverheadActual   6: 52428800 op, 540000.00 ns, 0.0103 ns/op
OverheadActual   7: 52428800 op, 451800.00 ns, 0.0086 ns/op
OverheadActual   8: 52428800 op, 448000.00 ns, 0.0085 ns/op
OverheadActual   9: 52428800 op, 452800.00 ns, 0.0086 ns/op
OverheadActual  10: 52428800 op, 447300.00 ns, 0.0085 ns/op
OverheadActual  11: 52428800 op, 441500.00 ns, 0.0084 ns/op
OverheadActual  12: 52428800 op, 446800.00 ns, 0.0085 ns/op
OverheadActual  13: 52428800 op, 446900.00 ns, 0.0085 ns/op
OverheadActual  14: 52428800 op, 449600.00 ns, 0.0086 ns/op
OverheadActual  15: 52428800 op, 443800.00 ns, 0.0085 ns/op

WorkloadWarmup   1: 52428800 op, 703532200.00 ns, 13.4188 ns/op
WorkloadWarmup   2: 52428800 op, 726562100.00 ns, 13.8581 ns/op
WorkloadWarmup   3: 52428800 op, 725936300.00 ns, 13.8461 ns/op
WorkloadWarmup   4: 52428800 op, 707920300.00 ns, 13.5025 ns/op
WorkloadWarmup   5: 52428800 op, 769857100.00 ns, 14.6839 ns/op
WorkloadWarmup   6: 52428800 op, 724297900.00 ns, 13.8149 ns/op

// BeforeActualRun
WorkloadActual   1: 52428800 op, 701865400.00 ns, 13.3870 ns/op
WorkloadActual   2: 52428800 op, 714703300.00 ns, 13.6319 ns/op
WorkloadActual   3: 52428800 op, 702251000.00 ns, 13.3944 ns/op
WorkloadActual   4: 52428800 op, 706606700.00 ns, 13.4775 ns/op
WorkloadActual   5: 52428800 op, 702883600.00 ns, 13.4064 ns/op
WorkloadActual   6: 52428800 op, 725393500.00 ns, 13.8358 ns/op
WorkloadActual   7: 52428800 op, 726210400.00 ns, 13.8514 ns/op
WorkloadActual   8: 52428800 op, 717076500.00 ns, 13.6771 ns/op
WorkloadActual   9: 52428800 op, 774399500.00 ns, 14.7705 ns/op
WorkloadActual  10: 52428800 op, 693921000.00 ns, 13.2355 ns/op
WorkloadActual  11: 52428800 op, 709514400.00 ns, 13.5329 ns/op
WorkloadActual  12: 52428800 op, 702609400.00 ns, 13.4012 ns/op
WorkloadActual  13: 52428800 op, 718411700.00 ns, 13.7026 ns/op
WorkloadActual  14: 52428800 op, 716827800.00 ns, 13.6724 ns/op
WorkloadActual  15: 52428800 op, 700439100.00 ns, 13.3598 ns/op

// AfterActualRun
WorkloadResult   1: 52428800 op, 701415700.00 ns, 13.3784 ns/op
WorkloadResult   2: 52428800 op, 714253600.00 ns, 13.6233 ns/op
WorkloadResult   3: 52428800 op, 701801300.00 ns, 13.3858 ns/op
WorkloadResult   4: 52428800 op, 706157000.00 ns, 13.4689 ns/op
WorkloadResult   5: 52428800 op, 702433900.00 ns, 13.3979 ns/op
WorkloadResult   6: 52428800 op, 724943800.00 ns, 13.8272 ns/op
WorkloadResult   7: 52428800 op, 725760700.00 ns, 13.8428 ns/op
WorkloadResult   8: 52428800 op, 716626800.00 ns, 13.6686 ns/op
WorkloadResult   9: 52428800 op, 693471300.00 ns, 13.2269 ns/op
WorkloadResult  10: 52428800 op, 709064700.00 ns, 13.5243 ns/op
WorkloadResult  11: 52428800 op, 702159700.00 ns, 13.3926 ns/op
WorkloadResult  12: 52428800 op, 717962000.00 ns, 13.6940 ns/op
WorkloadResult  13: 52428800 op, 716378100.00 ns, 13.6638 ns/op
WorkloadResult  14: 52428800 op, 699989400.00 ns, 13.3512 ns/op

// AfterAll
// Benchmark Process 7436 has exited with code 0

Mean = 13.532 ns, StdErr = 0.051 ns (0.37%), N = 14, StdDev = 0.189 ns
Min = 13.227 ns, Q1 = 13.388 ns, Median = 13.497 ns, Q3 = 13.667 ns, Max = 13.843 ns
IQR = 0.280 ns, LowerFence = 12.968 ns, UpperFence = 14.087 ns
ConfidenceInterval = [13.318 ns; 13.746 ns] (CI 99.9%), Margin = 0.214 ns (1.58% of Mean)
Skewness = 0.2, Kurtosis = 1.65, MValue = 2

// ***** BenchmarkRunner: Finish  *****

// * Export *
  BenchmarkDotNet.Artifacts\results\CtorPerformance.CtorTest-report.csv
  BenchmarkDotNet.Artifacts\results\CtorPerformance.CtorTest-report-github.md
  BenchmarkDotNet.Artifacts\results\CtorPerformance.CtorTest-report.html

// * Detailed results *
CtorTest.new(): DefaultJob
Runtime = .NET Core 5.0.0 (CoreCLR 5.0.20.27801, CoreFX 5.0.20.27801), X64 RyuJIT; GC = Concurrent Workstation
Mean = 11.910 ns, StdErr = 0.053 ns (0.45%), N = 14, StdDev = 0.200 ns
Min = 11.624 ns, Q1 = 11.748 ns, Median = 11.940 ns, Q3 = 12.014 ns, Max = 12.327 ns
IQR = 0.267 ns, LowerFence = 11.348 ns, UpperFence = 12.414 ns
ConfidenceInterval = [11.684 ns; 12.136 ns] (CI 99.9%), Margin = 0.226 ns (1.89% of Mean)
Skewness = 0.37, Kurtosis = 2.18, MValue = 2
-------------------- Histogram --------------------
[11.558 ns ; 11.800 ns) | @@@@
[11.800 ns ; 12.436 ns) | @@@@@@@@@@
---------------------------------------------------

CtorTest.Activator.CreateInstance: DefaultJob
Runtime = .NET Core 5.0.0 (CoreCLR 5.0.20.27801, CoreFX 5.0.20.27801), X64 RyuJIT; GC = Concurrent Workstation
Mean = 475.755 ns, StdErr = 2.263 ns (0.48%), N = 15, StdDev = 8.764 ns
Min = 460.783 ns, Q1 = 469.608 ns, Median = 472.658 ns, Q3 = 480.487 ns, Max = 495.788 ns
IQR = 10.879 ns, LowerFence = 453.289 ns, UpperFence = 496.806 ns
ConfidenceInterval = [466.386 ns; 485.124 ns] (CI 99.9%), Margin = 9.369 ns (1.97% of Mean)
Skewness = 0.52, Kurtosis = 2.71, MValue = 2
-------------------- Histogram --------------------
[456.119 ns ; 468.166 ns) | @
[468.166 ns ; 487.462 ns) | @@@@@@@@@@@@@
[487.462 ns ; 500.452 ns) | @
---------------------------------------------------

CtorTest.Expression.New: DefaultJob
Runtime = .NET Core 5.0.0 (CoreCLR 5.0.20.27801, CoreFX 5.0.20.27801), X64 RyuJIT; GC = Concurrent Workstation
Mean = 13.532 ns, StdErr = 0.051 ns (0.37%), N = 14, StdDev = 0.189 ns
Min = 13.227 ns, Q1 = 13.388 ns, Median = 13.497 ns, Q3 = 13.667 ns, Max = 13.843 ns
IQR = 0.280 ns, LowerFence = 12.968 ns, UpperFence = 14.087 ns
ConfidenceInterval = [13.318 ns; 13.746 ns] (CI 99.9%), Margin = 0.214 ns (1.58% of Mean)
Skewness = 0.2, Kurtosis = 1.65, MValue = 2
-------------------- Histogram --------------------
[13.124 ns ; 13.572 ns) | @@@@@@@@
[13.572 ns ; 13.891 ns) | @@@@@@
---------------------------------------------------

// * Summary *

BenchmarkDotNet=v0.12.1, OS=Windows 10.0.19041.508 (2004/?/20H1)
Intel Core i7-9850H CPU 2.60GHz, 1 CPU, 12 logical and 6 physical cores
.NET Core SDK=5.0.100-preview.5.20279.10
  [Host]     : .NET Core 5.0.0 (CoreCLR 5.0.20.27801, CoreFX 5.0.20.27801), X64 RyuJIT
  DefaultJob : .NET Core 5.0.0 (CoreCLR 5.0.20.27801, CoreFX 5.0.20.27801), X64 RyuJIT


|                   Method |      Mean |    Error |   StdDev | Ratio | RatioSD |
|------------------------- |----------:|---------:|---------:|------:|--------:|
|                    new() |  11.91 ns | 0.226 ns | 0.200 ns |  1.00 |    0.00 |
| Activator.CreateInstance | 475.75 ns | 9.369 ns | 8.764 ns | 40.04 |    0.82 |
|           Expression.New |  13.53 ns | 0.214 ns | 0.189 ns |  1.14 |    0.03 |

// * Hints *
Outliers
  CtorTest.new(): Default          -> 1 outlier  was  removed (12.73 ns)
  CtorTest.Expression.New: Default -> 1 outlier  was  removed (14.77 ns)

// * Legends *
  Mean    : Arithmetic mean of all measurements
  Error   : Half of 99.9% confidence interval
  StdDev  : Standard deviation of all measurements
  Ratio   : Mean of the ratio distribution ([Current]/[Baseline])
  RatioSD : Standard deviation of the ratio distribution ([Current]/[Baseline])
  1 ns    : 1 Nanosecond (0.000000001 sec)

// ***** BenchmarkRunner: End *****
// ** Remained 0 benchmark(s) to run **
Run time: 00:00:52 (52.12 sec), executed benchmarks: 3

Global total time: 00:00:55 (55.6 sec), executed benchmarks: 3
// * Artifacts cleanup *
